Member of the Bundestag,Born,Party,State1
Alois Karl,1950,CSU,Bayern
Anja Karliczek,1971,CDU,Nordrhein-Westfalen
Kerstin Kassner,1958,DIE LINKE,Mecklenburg-Vorpommern
Bernhard Kaster,1957,CDU,Rheinland-Pfalz
Gabriele Katzmarek,1960,SPD,Baden-Württemberg
Volker Kauder,1949,CDU,Baden-Württemberg
Stefan Kaufmann,1969,CDU,Baden-Württemberg
Uwe Kekeritz,1953,GRÜNE,Bayern
Ulrich Kelber,1968,SPD,Nordrhein-Westfalen
Ronja Kemmer,1989,CDU,Baden-Württemberg
Marina Kermer,1960,SPD,Sachsen-Anhalt
Katja Keul,1969,GRÜNE,Niedersachsen
Roderich Kiesewetter,1963,CDU,Baden-Württemberg
Sven-Christian Kindler,1985,GRÜNE,Niedersachsen
Georg Kippels,1959,CDU,Nordrhein-Westfalen
Katja Kipping,1978,DIE LINKE,Sachsen
Cansel Kiziltepe,1975,SPD,Berlin
Arno Klare,1952,SPD,Nordrhein-Westfalen
Volkmar Klein,1960,CDU,Nordrhein-Westfalen
Maria Klein-Schmeink,1958,GRÜNE,Nordrhein-Westfalen
Jürgen Klimke,1948,CDU,Hamburg
Lars Klingbeil,1978,SPD,Niedersachsen
Axel Knoerig,1967,CDU,Niedersachsen
Tom Koenigs,1944,GRÜNE,Hessen
Jens Koeppen,1962,CDU,Brandenburg
Bärbel Kofler,1967,SPD,Bayern
Daniela Kolbe,1980,SPD,Sachsen
Birgit Kömpel,1967,SPD,Hessen
Markus Koob,1977,CDU,Hessen
Carsten Körber,1979,CDU,Sachsen
Jan Korte,1977,DIE LINKE,Sachsen-Anhalt
Hartmut Koschyk,1959,CSU,Bayern
Sylvia Kotting-Uhl,1952,GRÜNE,Baden-Württemberg
Kordula Kovac,1957,CDU,Baden-Württemberg
Anette Kramme,1967,SPD,Bayern
Jutta Krellmann,1956,DIE LINKE,Niedersachsen
Michael Kretschmer,1975,CDU,Sachsen
Gunther Krichbaum,1964,CDU,Baden-Württemberg
Günter Krings,1969,CDU,Nordrhein-Westfalen
Oliver Krischer,1969,GRÜNE,Nordrhein-Westfalen
Hans-Ulrich Krüger,1952,SPD,Nordrhein-Westfalen
Angelika Krüger-Leißner,1951,SPD,Brandenburg
Rüdiger Kruse,1961,CDU,Hamburg
Bettina Kudla,1962,CDU,Sachsen
Christian Kühn,1979,GRÜNE,Baden-Württemberg
(Tübingen),,,
Stephan Kühn,1979,GRÜNE,Sachsen
(Dresden),,,
Helga Kühn-Mengel,1947,SPD,Nordrhein-Westfalen
Roy Kühne,1967,CDU,Niedersachsen
Renate Künast,1955,GRÜNE,Berlin
Katrin Kunert,1964,DIE LINKE,Sachsen-Anhalt
Markus Kurth,1966,GRÜNE,Nordrhein-Westfalen
Günter Lach,1954,CDU,Niedersachsen
Uwe Lagosky,1962,CDU,Niedersachsen
Christine Lambrecht,1965,SPD,Hessen
Karl A. Lamers,1951,CDU,Baden-Württemberg
Andreas Lämmel,1959,CDU,Sachsen
Norbert Lammert,1948,CDU,Nordrhein-Westfalen
Katharina Landgraf,1954,CDU,Sachsen
Christian Lange,1964,SPD,Baden-Württemberg
(Backnang),,,
Ulrich Lange,1969,CSU,Bayern
