Name,Year of birth,party,State
Günter Krings,1969,CDU,North Rhine-Westphalia
Oliver Krischer,1969,Greens,North Rhine-Westphalia
Rüdiger Kruse,1961,CDU,Hamburg
Wolfgang Kubicki,1952,FDP,Schleswig-Holstein
Michael Kuffer,1972,CSU,Bavaria
Konstantin Kuhle,1989,FDP,Lower Saxony
Christian Kühn,1979,Greens,Baden-Württemberg
Stephan Kühn,1979,Greens,Saxony
Roy Kühne,1967,CDU,Lower Saxony
Alexander Kulitz,1981,FDP,Baden-Württemberg
Renate Künast,1955,Greens,Berlin
Markus Kurth,1966,Greens,North Rhine-Westphalia
Christine Lambrecht,1965,SPD,Hesse
Alexander Graf Lambsdorff,1966,FDP,North Rhine-Westphalia
Karl A. Lamers,1951,CDU,Baden-Württemberg
Andreas Lämmel,1959,CDU,Saxony
Katharina Landgraf,1954,CDU,Saxony
Christian Lange,1964,SPD,Baden-Württemberg
Ulrich Lange,1969,CSU,Bavaria
Silke Launert,1976,CSU,Bavaria
Karl Lauterbach,1963,SPD,North Rhine-Westphalia
Caren Lay,1972,The Left,Saxony
Monika Lazar,1967,Greens,Saxony
Ulrich Lechte,1977,FDP,Bavaria
Jens Lehmann,1967,CDU,Saxony
Sven Lehmann,1979,Greens,North Rhine-Westphalia
Sylvia Lehmann,1954,SPD,Brandenburg
Paul Lehrieder,1959,CSU,Bavaria
Sabine Leidig,1961,The Left,Hesse
Katja Leikert,1975,CDU,Hesse
Steffi Lemke,1968,Greens,Saxony-Anhalt
Ralph Lenkert,1967,The Left,Thuringia
Andreas Lenz,1981,CSU,Bavaria
Michael Leutert,1974,The Left,Saxony
Antje Lezius,1960,CDU,Rhineland-Palatinate
Stefan Liebich,1972,The Left,Berlin
Helge Lindh,1976,SPD,North Rhine-Westphalia
Andrea Lindholz,1970,CSU,Bavaria
Christian Lindner,1979,FDP,North Rhine-Westphalia
Tobias Lindner,1982,Greens,Rhineland-Palatinate
Michael Georg Link,1963,FDP,Baden-Württemberg
Carsten Linnemann,1977,CDU,North Rhine-Westphalia
Patricia Lips,1963,CDU,Hesse
Nikolas Löbel,1986,CDU,Baden-Württemberg
Bernhard Loos,1955,CSU,Bavaria
Gesine Lötzsch,1961,The Left,Berlin
Rüdiger Lucassen,1951,AfD,North Rhine-Westphalia
Jan-Marco Luczak,1975,CDU,Berlin
Daniela Ludwig,1975,CSU,Bavaria
Saskia Ludwig,1975,CDU,Brandenburg
Kirsten Lühmann,1964,SPD,Lower Saxony
Oliver Luksic,1979,FDP,Saarland
Thomas Lutze,1969,The Left,Saarland
Karin Maag,1962,CDU,Baden-Württemberg
Heiko Maas,1966,SPD,Saarland
Isabel Mackensen,1986,SPD,Rhineland-Palatinate
Frank Magnitz,1952,AfD,Bremen
Yvonne Magwas,1979,CDU,Saxony
Jens Maier,1962,AfD,Saxony
Lothar Maier,1944,AfD,Baden-Württemberg
Thomas de Maizière,1954,CDU,Saxony
Birgit Malsack-Winkemann,1964,AfD,Berlin
Gisela Manderla,1958,CDU,North Rhine-Westphalia
Astrid Mannes,1967,CDU,Hesse
Till Mansmann,1968,FDP,Hesse
Caren Marks,1963,SPD,Lower Saxony
Matern von Marschall,1962,CDU,Baden-Württemberg
Jürgen Martens,1959,FDP,Saxony
Dorothee Martin,1978,SPD,Hamburg
Hans-Georg von der Marwitz,1961,CDU,Brandenburg
Fabio De Masi,1980,The Left,Hamburg
Katja Mast,1971,SPD,Baden-Württemberg
Christoph Matschie,1961,SPD,Thuringia
Andreas Mattfeldt,1969,CDU,Lower Saxony
Hilde Mattheis,1954,SPD,Baden-Württemberg
Stephan Mayer,1973,CSU,Bavaria
Pascal Meiser,1975,The Left,Berlin
Michael Meister,1961,CDU,Hesse
Angela Merkel,1954,CDU,Mecklenburg-Vorpommern
Jan Metzler,1981,CDU,Rhineland-Palatinate
Christoph Meyer,1975,FDP,Berlin
Corinna Miazga,1983,AfD,Bavaria
Hans Michelbach,1949,CSU,Bavaria
Mathias Middelberg,1964,CDU,Lower Saxony
Matthias Miersch,1968,SPD,Lower Saxony
Mario Mieruch,1975,LKR (ex AfD),North Rhine-Westphalia
Irene Mihalic,1976,Greens,North Rhine-Westphalia
Klaus Mindrup,1964,SPD,Berlin
Susanne Mittag,1958,SPD,Lower Saxony
Amira Mohamed Ali,1980,The Left,Lower Saxony
Cornelia Möhring,1960,The Left,Schleswig-Holstein
Falko Mohrs,1984,SPD,Lower Saxony
Claudia Moll,1968,SPD,North Rhine-Westphalia
Siemtje Möller,1983,SPD,Lower Saxony
Dietrich Monstadt,1957,CDU,Mecklenburg-Vorpommern
Karsten Möring,1949,CDU,North Rhine-Westphalia
Elisabeth Motschmann,1952,CDU,Bremen
Niema Movassat,1984,The Left,North Rhine-Westphalia
Andreas Mrosek,1958,AfD,Saxony-Anhalt
Alexander Müller,1969,FDP,Hesse
Axel Müller,1963,CDU,Baden-Württemberg
Bettina Müller,1959,SPD,Hesse
Carsten Müller,1970,CDU,Lower Saxony
Claudia Müller,1981,Greens,Mecklenburg-Vorpommern
Detlef Müller,1964,SPD,Saxony
Gerd Müller,1955,CSU,Bavaria
Hansjörg Müller,1968,AfD,Bavaria
Norbert Müller,1986,The Left,Brandenburg
Sepp Müller,1989,CDU,Saxony-Anhalt
Stefan Müller,1975,CSU,Bavaria
Roman Müller-Böhm,1992,FDP,North Rhine-Westphalia
Beate Müller-Gemmeke,1960,Greens,Baden-Württemberg
Frank Müller-Rosentritt,1982,FDP,Saxony
Michelle Müntefering,1980,SPD,North Rhine-Westphalia
Volker Münz,1964,AfD,Baden-Württemberg
Sebastian Münzenmaier,1989,AfD,Rhineland-Palatinate
Rolf Mützenich,1959,SPD,North Rhine-Westphalia
Zaklin Nastic,1980,The Left,Hamburg
Ingrid Nestle,1977,Greens,Schleswig-Holstein
Alexander Neu,1969,The Left,North Rhine-Westphalia
Christoph Neumann,1964,AfD,Saxony
Martin Neumann,1956,FDP,Brandenburg
Andreas Nick,1967,CDU,Rhineland-Palatinate
Petra Nicolaisen,1965,CDU,Schleswig-Holstein
Dietmar Nietan,1964,SPD,North Rhine-Westphalia
Ulli Nissen,1959,SPD,Hesse
Matthias Nölke,1980,FDP,Hesse
Michaela Noll,1959,CDU,North Rhine-Westphalia
Jan Nolte,1988,AfD,Hesse
Thomas Nord,1957,The Left,Brandenburg
Konstantin von Notz,1971,Greens,Schleswig-Holstein
Omid Nouripour,1975,Greens,Hesse
Georg Nüßlein,1969,CSU,Bavaria
Ulrich Oehme,1960,AfD,Saxony
Wilfried Oellers,1975,CDU,North Rhine-Westphalia
Thomas Oppermann,1954,SPD,Lower Saxony
Josephine Ortleb,1986,SPD,Saarland
Florian Oßner,1980,CSU,Bavaria
Friedrich Ostendorff,1953,Greens,North Rhine-Westphalia
Josef Oster,1971,CDU,Rhineland-Palatinate
Henning Otte,1968,CDU,Lower Saxony
Gerold Otten,1955,AfD,Bavaria
Cem Özdemir,1965,Greens,Baden-Württemberg
Mahmut Özdemir,1987,SPD,North Rhine-Westphalia
Aydan Özo_uz,1967,SPD,Hamburg
Ingrid Pahlmann,1957,CDU,Lower Saxony
Sylvia Pantel,1961,CDU,North Rhine-Westphalia
Markus Paschke,1973,SPD,Lower Saxony
Frank Pasemann,1960,AfD,Saxony-Anhalt
Martin Patzelt,1947,CDU,Brandenburg
Petra Pau,1963,The Left,Berlin
Lisa Paus,1968,Greens,Berlin
Sören Pellmann,1977,The Left,Saxony
Victor Perli,1982,The Left,Lower Saxony
Tobias Peterka,1982,AfD,Bavaria
Christian Petry,1965,SPD,Saarland
Frauke Petry,1975,Independent (ex AfD),Saxony
Joachim Pfeiffer,1967,CDU,Baden-Württemberg
Tobias Pflüger,1965,The Left,Baden-Württemberg
Detlev Pilger,1955,SPD,Rhineland-Palatinate
Stephan Pilsinger,1987,CSU,Bavaria
Christoph Ploß,1985,CDU,Hamburg
Paul Podolay,1946,AfD,Bavaria
Jürgen Pohl,1964,AfD,Thuringia
Filiz Polat,1978,Greens,Lower Saxony
Eckhard Pols,1962,CDU,Lower Saxony
Sabine Poschmann,1968,SPD,North Rhine-Westphalia
Achim Post,1959,SPD,North Rhine-Westphalia
Florian Post,1981,SPD,Bavaria
Florian Pronold,1972,SPD,Bavaria
Stephan Protschka,1977,AfD,Bavaria
Sascha Raabe,1968,SPD,Hesse
Martin Rabanus,1971,SPD,Hesse
Thomas Rachel,1962,CDU,North Rhine-Westphalia
