Gunther Krichbaum, CDU
Günter Krings, CDU
Volker Kröning, SPD
Martina Krogmann, CDU
Angelika Krüger-Leißner, SPD
Hans-Ulrich Krüger, SPD
Johann-Henrich Krummacher, CDU
Jürgen Kucharczyk, SPD
Helga Kühn-Mengel, SPD
Renate Künast, Bündnis 90/Die Grünen
Hermann Kues, CDU
Uwe Küster, SPD
Fritz Kuhn, Bündnis 90/Die Grünen
Ute Kumpf, SPD
Katrin Kunert, Die Linke.
Markus Kurth, Bündnis 90/Die Grünen
Patrick Kurth, FDP
Undine Kurth, Bündnis 90/Die Grünen
Andreas Lämmel, CDU
Oskar Lafontaine, Die Linke.
Christine Lambrecht, SPD
Karl A. Lamers, CDU
Norbert Lammert, CDU
Katharina Landgraf, CDU
Heinz Lanfermann, FDP
Christian Lange, SPD
Sibylle Laurischk, FDP
Karl Lauterbach, SPD
Monika Lazar, Bündnis 90/Die Grünen
Maximilian Lehmer, CSU
Waltraud Lehn, SPD
Paul Lehrieder, CSU
Harald Leibrecht, FDP
Ina Lenke, FDP
Michael Gerhard Leutert, Die Linke.
Sabine Leutheusser-Schnarrenberger, FDP
Ingbert Liebing, CDU
Michael Link, FDP
Eduard Lintner, CSU
Klaus Wilhelm Lippold, CDU
Patricia Lips, CDU
Markus Löning, FDP
Gabriele Lösekrug-Möller, SPD
Ursula Lötzer, Die Linke.
Gesine Lötzsch, Die Linke.
Helga Lopez, SPD
Reinhard Loske, Bündnis 90/Die Grünen
Anna Lührmann, Bündnis 90/Die Grünen
Michael Andreas Luther, CDU
Dorothee Mantel, CSU
Dirk Manzewski, SPD
Lothar Mark, SPD
Caren Marks, SPD
Katja Mast, SPD
Hildegard Mattheis, SPD
Ulrich Maurer, Die Linke.
Stephan Mayer, CSU
Johannes-Markus Meckel, SPD
Wolfgang Meckelburg, CDU
Horst Meierhofer, FDP
Patrick Meinhardt, FDP
Michael Meister, CDU
Dorothée Menzner, Die Linke.
Angela Merkel, CDU
Petra Merkel, SPD
Ulrike Merten, SPD
Friedrich Merz, CDU
Laurenz Meyer, CDU
Maria Ludwiga Michalk, CDU
Hans Michelbach, CSU
Matthias Miersch, SPD
Philipp Mißfelder, CDU
Kornelia Edeltraud Karin Möller, Die Linke.
Eva Möllring, CDU
Ursula Mogg, SPD
Jerzy Montag, Bündnis 90/Die Grünen
Marlene Mortler, CSU
Jan Mücke, FDP
Marko Mühlstein, SPD
Burkhardt Müller-Sönksen, FDP
Bernward Müller, CDU
Carsten Müller, CDU
Detlef Müller, SPD
Gerd Müller, CSU
Hildegard Müller, CDU
Kerstin Müller, Bündnis 90/Die Grünen
Michael Müller, SPD
Stefan Müller, CSU
Franz Müntefering, SPD
Rolf Mützenich, SPD
Gesine Multhaupt, SPD
Winfried Nachtwei, Bündnis 90/Die Grünen
Andrea Maria Nahles, SPD
Kersten Naumann, Die Linke.
Wolfgang-Dragie Willi Neskovic, Die Linke.
Bernd Neumann, CDU
Dirk Niebel, FDP
Henry Nitzsche, CDU
Michaela Noll, CDU
Georg Nüßlein, CSU
Franz Obermeier, CSU
Thomas Oppermann, SPD
Holger Ortel, SPD
Eduard Oswald, CSU
Henning Otte, CDU
Hans-Joachim Otto, FDP
Norman Paech, Die Linke.
Detlef Parr, FDP
Petra Pau, Die Linke.
Heinz Paula, SPD
Rita Pawelski, CDU
Peter Paul Paziorek, CDU
Ulrich Petzold, CDU
Joachim Pfeiffer, CDU
Sibylle Pfeiffer, CDU
Friedbert Pflüger, CDU
Johannes Pflug, SPD
Beatrix Philipp, CDU
Cornelia Pieper, FDP
Gisela Piltz, FDP
Ronald Pofalla, CDU
Ruprecht Polenz, CDU
Joachim Poß, SPD
Brigitte Pothmer, Bündnis 90/Die Grünen
Christoph Pries, SPD
Wilhelm Priesmeier, SPD
Florian Pronold, SPD
Daniela Raab, CSU
Sascha Raabe, SPD
Thomas Rachel, CDU
Hans Raidel, CSU
Bodo Ramelow, Die Linke.
Peter Ramsauer, CSU
Peter Harald Rauen, CDU
Mechthild Rawert, SPD
Eckhardt Rehberg, CDU
Katherina Reiche, CDU
Steffen Reiche, SPD
Maik Reichel, SPD
Gerold Reichenbach, SPD
Carola Reimann, SPD
Elke Reinke, Die Linke.
Klaus Riegert, CDU
Christel Riemann-Hanewinckel, SPD
Heinz Riesenhuber, CDU
Walter Riester, SPD
Sönke Rix, SPD
Johannes Röring, CDU
René Röspel, SPD
Norbert Röttgen, CDU
Jörg Rohde, FDP
Franz Romer, CDU
Kurt J. Rossmanith, CSU
Ernst-Dieter Rossmann, SPD
Claudia Roth, Bündnis 90/Die Grünen
Karin Roth, SPD
Michael Roth, SPD
Christian Ruck, CSU
Ortwin Runde, SPD
Albert Rupprecht, CSU
Marlene Dorothe Henriette Rupprecht, SPD
Peter Rzepka, CDU
Krista Sager, Bündnis 90/Die Grünen
Anton Schaaf, SPD
Anita Schäfer, CDU
Axel Schäfer, SPD
Paul Schäfer, Die Linke.
Frank Schäffler, FDP
Wolfgang Schäuble, CDU
Hermann Josef Scharf, CDU
Elisabethe Scharfenberg, Bündnis 90/Die Grünen
Hartmut Schauerte, CDU
Annette Schavan, CDU
Christine Scheel, Bündnis 90/Die Grünen
Bernd Scheelen, SPD
Hermann Scheer, SPD
PhAndreas Scheuer, CSU
Irmingard Schewe-Gerigk, Bündnis 90/Die Grünen
Gerhard Schick, Bündnis 90/Die Grünen
Marianne Schieder, SPD
Karl Richard Maria Schiewerling, CDU
Konrad Schily, FDP
Otto Schily, SPD
Norbert Schindler, CDU
Georg Schirmbeck, CDU
Bernd Schmidbauer, CDU
Andreas Schmidt, CDU
Christian Schmidt, CSU
Frank Schmidt, SPD
Renate Schmidt, SPD
Silvia Schmidt, SPD
Ulla Schmidt, SPD
Heinz Schmitt, SPD
Ingo Schmitt, CDU
Carsten Schneider, SPD
Volker Schneider, Die Linke.
Andreas Schockenhoff, CDU
Olaf Scholz, SPD
Ottmar Schreiner, SPD
Ole Schröder, CDU
Herbert Schui, Die Linke.
Bernhard Schulte-Drüggelte, CDU
Reinhard Walter Schultz, SPD
Swen Schulz, SPD
Uwe Schummer, CDU
Ewald Schurer, SPD
Marina Schuster, FDP
Frank Schwabe, SPD
Angelica Schwall-Düren, SPD
Martin Schwanholz, SPD
Rolf Schwanitz, SPD
Rita Schwarzelühr-Sutter, SPD
Wilhelm Josef Sebastian, CDU
Horst Seehofer, CSU
Kurt Segner, CDU
Ilja Seifert, Die Linke.
Bernd Siebert, CDU
Thomas Silberhorn, CSU
Johannes Singhammer, CSU
Petra Sitte, Die Linke.
Hermann Otto Solms, FDP
Jens Spahn, CDU
Wolfgang Spanier, SPD
Margrit Spielmann, SPD
Frank Spieth, Die Linke.
Jörg-Otto Spiller, SPD
Max Josef Stadler, FDP
Ditmar Staffelt, SPD
Grietje Staffelt, Bündnis 90/Die Grünen
Rainder Steenblock, Bündnis 90/Die Grünen
Erika Steinbach, CDU
Andreas Steppuhn, SPD
Christian von Stetten, CDU
Ludwig Stiegler, SPD
Rainer Stinner, FDP
Rolf Stöckel, SPD
Silke Stokar von Neuforn, Bündnis 90/Die Grünen
Gero Storjohann, CDU
Andreas Storm, CDU
Christoph Strässer, SPD
Max Straubinger, CSU
Thomas Strobl, CDU
Hans-Christian Ströbele, Bündnis 90/Die Grünen
Lena Strothmann, CDU
Peter Struck, SPD
Michael Stübgen, CDU
Joachim Stünker, SPD
Rainer Tabillion, SPD
Kirsten Tackmann, Die Linke.
Jörg Tauss, Pirate Party (not a parliamentary group)
Frank Tempel, Die Linke.
Harald Terpe, Bündnis 90/Die Grünen
Jella Teuchner, SPD
Carl-Ludwig Thiele, FDP
Wolfgang Thierse, SPD
Jörn Thießen, SPD
Franz Thönnes, SPD
Antje Tillmann, CDU
Florian Toncar, FDP
Jürgen Trittin, Bündnis 90/Die Grünen
Axel Troost, Die Linke.
Hans-Jürgen Uhl, SPD
Hans-Peter Uhl, CSU
Alexander Ulrich, Die Linke
Arnold Vaatz, CDU
Rüdiger Veit, SPD
Simone Violka, SPD
Andrea Astrid Voßhoff, CDU
Volkmar Uwe Vogel, CDU
Jörg Willi Vogelsänger, SPD
Marlies Eva Volkmer, SPD
Gerhard Wächter, CDU
Christoph Waitz, FDP
Marco Wanderwitz, CDU
Hedi Wegener, SPD
Kai Wegner, CDU
Andreas Weigel, SPD
Marcus Weinberg, CDU
Petra Weis, SPD
Gerald Weiß, CDU
Peter Weiß, CDU
Gunter Weißgerber, SPD
Gert Weisskirchen, SPD
Ingo Wellenreuther, CDU
Karl-Georg Wellmann, CDU
Rainer Wend, SPD
Guido Westerwelle, FDP
Lydia Westrich, SPD
Margrit Wetzel, SPD
Andrea Wicklein, SPD
Annette Widmann-Mauz, CDU
Heidemarie Wieczorek-Zeul, SPD
Dieter Wiefelspütz, SPD
Wolfgang Wieland, Bündnis 90/Die Grünen
Klaus-Peter Willsch, CDU
Willy Wimmer, CDU
Elisabeth Winkelmeier-Becker, CDU
Gert Winkelmeier, Die Linke.
Josef Philip Winkler, Bündnis 90/Die Grünen
Claudia Winterstein, FDP
Volker Wissing, FDP
Engelbert Wistuba, SPD
Wolfgang Wodarg, SPD
Dagmar Wöhrl, CSU
Margareta Wolf, Bündnis 90/Die Grünen
Hartfrid Wolff, FDP
Waltraud Wolff, SPD
Heidemarie Wright, SPD
Jörn Wunderlich, Die Linke.
Uta Zapf, SPD
Martin Zeil, FDP
Sabine Zimmermann, Die Linke.
Wolfgang Zöller, CSU
Manfred Helmut Zöllmer, SPD
Willi Zylajew, CDU
Brigitte Zypries, SPD
